Famiglia e Tipo,ID Elemento,Categoria,Verifica,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272637,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272644,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272651,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272718,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272724,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272731,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272755,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272762,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272791,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272799,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272830,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272838,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272844,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272851,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272858,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272917,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272923,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272930,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272954,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272961,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272990,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272998,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273029,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273037,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273043,Pavimenti,Verificato,1
