Nome Elemento,ID Elemento,Categoria,Fase,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255653,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1259988,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1260499,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1260508,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1260537,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1260545,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1260551,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1260558,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1260565,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1270410,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270416,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270423,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270447,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270454,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1270483,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1270491,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1270522,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270530,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270536,Pavimenti,ScanToBIM_Luglio24,1
